DBMS,Rank_Apr-2023,Rank_Mar-2023,Rank_Apr-2022,Database Model,Score_Apr-2023,Score_Mar-2023,Score_Apr-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Graph Engine,229.0,224.0,182.0,Multi-model,0.87,-0.07,-0.06,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store",,,2010.0,,Open Source,MIT License,no
KairosDB,230.0,223.0,213.0,Time Series,0.85,-0.10,+0.19,https://db-engines.com/en/system/KairosDB,,,,2013.0,,Open Source,Apache 2.0,no
OpenInsight,231.0,227.0,242.0,Multivalue,0.84,-0.03,+0.35,https://db-engines.com/en/system/OpenInsight,,,,1992.0,,commercial,,no
R:BASE,232.0,229.0,206.0,Relational,0.84,-0.03,+0.15,https://db-engines.com/en/system/R%3ABASE,,,,1981.0,,commercial,,no
Rockset,233.0,228.0,235.0,"Document, Multi-model",0.84,-0.03,+0.31,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine",,,2019.0,,commercial,,yes
SQream DB,234.0,238.0,226.0,Relational,0.81,0.00,+0.25,https://db-engines.com/en/system/SQream+DB,,,,2017.0,,commercial,,no
ScaleArc,235.0,236.0,228.0,Relational,0.81,-0.01,+0.25,https://db-engines.com/en/system/ScaleArc,,,,2009.0,,commercial,limited edition free,no
Scalaris,236.0,241.0,256.0,Key-value,0.81,+0.07,+0.40,https://db-engines.com/en/system/Scalaris,,,,2010.0,,Open Source,Apache Version 2,no
StarRocks,237.0,,,Relational,0.79,,,https://db-engines.com/en/system/StarRocks,,,,2020.0,,Open Source,Apache Version 2.0,no
atoti,238.0,233.0,263.0,Object oriented,0.79,-0.05,+0.44,https://db-engines.com/en/system/atoti,,,,,,commercial,free versions available,no
Objectivity/DB,239.0,240.0,194.0,Object oriented,0.75,-0.03,-0.05,https://db-engines.com/en/system/Objectivity%2FDB,,,,1990.0,,commercial,,no
Milvus,240.0,239.0,253.0,Search engine,0.74,-0.06,+0.32,https://db-engines.com/en/system/Milvus,,,,2019.0,,Open Source,Apache Version 2.0,no
Apache IoTDB,241.0,244.0,257.0,Time Series,0.74,+0.04,+0.34,https://db-engines.com/en/system/Apache+IoTDB,,,"An IoT native database with high performance for data management and analysis, deployable on the edge and the cloud and integrated with Hadoop, Spark and Flink",2018.0,"V1.0.1, February 2023",Open Source,Apache Version 2.0,no
Amazon Keyspaces,242.0,231.0,233.0,Wide column,0.74,-0.11,+0.21,https://db-engines.com/en/system/Amazon+Keyspaces,,,"A scalable, highly available,Cassandra,–compatible database service",2019.0,,commercial,,yes
eXtremeDB,243.0,235.0,208.0,Multi-model,0.74,-0.10,+0.04,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS",,"Natively in-memory DBMS with options for persistency, high-availability and clustering",2001.0,"8.2, 2021",commercial,,no
Postgres-XL,244.0,253.0,202.0,"Relational, Multi-model",0.73,+0.09,0.00,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS",,Based on PostgreSQL enhanced with MPP and write-scale-out cluster features,2014.0,"10 R1, October 2018",Open Source,Mozilla public license,no
VistaDB,245.0,234.0,221.0,Relational,0.72,-0.11,+0.13,https://db-engines.com/en/system/VistaDB,,,,2008.0,,commercial,,no
SearchBlox,246.0,248.0,266.0,Search engine,0.7,+0.03,+0.37,https://db-engines.com/en/system/SearchBlox,,,,2003.0,,commercial,,no
Starcounter,247.0,259.0,243.0,Object oriented,0.7,+0.09,+0.22,https://db-engines.com/en/system/Starcounter,,,,2006.0,"2.3.2.930, April 2018",commercial,,no
Kinetica,248.0,255.0,205.0,"Relational, Multi-model",0.69,+0.06,-0.02,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS",,Fully vectorized database across both GPUs and CPUs,2012.0,"7.1, August 2021",commercial,,no
Strabon,249.0,243.0,299.0,RDF,0.68,-0.02,+0.55,https://db-engines.com/en/system/Strabon,,,,2011.0,,Open Source,Mozilla public license,no
Actian FastObjects,250.0,267.0,282.0,Object oriented,0.68,+0.13,+0.47,https://db-engines.com/en/system/Actian+FastObjects,,,,,,commercial,,no
Apache Pinot,251.0,257.0,269.0,Relational,0.68,+0.06,+0.40,https://db-engines.com/en/system/Apache+Pinot,,,"Realtime distributed OLAP datastore, designed to answer OLAP queries with low latency",2015.0,"0.11.0, September 2022",Open Source,Apache Version 2.0,no
KeyDB,252.0,242.0,265.0,Key-value,0.67,-0.06,+0.34,https://db-engines.com/en/system/KeyDB,,,"An ultra-fast, open source,Key-value store,fully compatible with Redis API, modules, and protocols",2019.0,,Open Source,BSD-3,no
Redland,253.0,258.0,244.0,RDF,0.67,+0.06,+0.20,https://db-engines.com/en/system/Redland,,,A set of free software C libraries that provide support for the Resource Description Framework (RDF),2000.0,,Open Source,"Multi License (LGPL, GPLv2, Apache V2)",no
LokiJS,254.0,266.0,222.0,Document,0.67,+0.11,+0.08,https://db-engines.com/en/system/LokiJS,,,In-memory JavaScript DBMS,2014.0,,Open Source,,no
Apache Doris,255.0,246.0,281.0,Relational,0.67,-0.02,+0.43,https://db-engines.com/en/system/Apache+Doris,,,"An MPP-based analytics DBMS embracing the,MySQL,protocol",2017.0,"1.2.2, February 2023",Open Source,Apache Version 2.0,no
4store,256.0,250.0,237.0,RDF,0.66,+0.00,+0.14,https://db-engines.com/en/system/4store,,,,2009.0,,Open Source,GPLv3,no
ModeShape,257.0,247.0,259.0,Content,0.66,-0.02,+0.28,https://db-engines.com/en/system/ModeShape,,,,2010.0,,Open Source,Apache Version 2,no
OpenQM,258.0,262.0,279.0,Multivalue,0.65,+0.07,+0.40,https://db-engines.com/en/system/OpenQM,,,"QpenQM is a high-performance, self-tuning, multi-value DBMS",1993.0,3.4-12,Open Source,"GPLv2, extended commercial license available",no
AlaSQL,259.0,245.0,224.0,Multi-model,0.64,-0.05,+0.06,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS",,JavaScript DBMS library,2014.0,,Open Source,MIT-License,no
Raima Database Manager,260.0,261.0,240.0,Multi-model,0.64,+0.05,+0.13,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS",,"RDBMS with a small footprint, either embedded into an application or used as a database server",1984.0,"15, June 2021",commercial,,no
Rasdaman,261.0,251.0,246.0,Multivalue,0.61,-0.05,+0.17,https://db-engines.com/en/system/Rasdaman,,,Extends standard RDBMS with efficient handling of multi-dimensional arrays,1998.0,"rasdaman v9.8.1, July 2019",Open Source,extended commercial license available,no
InfiniteGraph,262.0,271.0,251.0,Graph,0.61,+0.08,+0.18,https://db-engines.com/en/system/InfiniteGraph,,,,2010.0,,commercial,,no
Trafodion,263.0,254.0,249.0,Relational,0.6,-0.04,+0.16,https://db-engines.com/en/system/Trafodion,,"Apache Software Foundation, originally developed by HP",Transactional SQL-on-Hadoop DBMS,2014.0,"2.3.0, February 2019",Open Source,Apache 2.0,no
Transbase,264.0,274.0,318.0,Relational,0.57,+0.06,+0.48,https://db-engines.com/en/system/Transbase,,Transaction Software GmbH,"A resource-optimized, high-performance, universally applicable RDBMS",1987.0,"Transbase 8.3, 2022",commercial,free development license,no
ITTIA,265.0,260.0,314.0,"Time Series, Multi-model",0.55,-0.04,+0.46,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS",,,2000.0,,commercial,,no
SurrealDB,266.0,268.0,,Multi-model,0.55,+0.01,,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS",SurrealDB Ltd,"A fully ACID transactional, developer-friendly, multi-model,DBMS",2022.0,,Open Source,,no
Kingbase,267.0,256.0,260.0,"Relational, Multi-model",0.55,-0.07,+0.18,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS",BeiJing KINGBASE Information technologies inc.,"An enterprise-class,RDBMS,compatible with PostgreSQL and Oracle and widely used in China.",1999.0,"V8.0, August 2021",commercial,,no
Lovefield,268.0,263.0,277.0,Relational,0.55,-0.03,+0.29,https://db-engines.com/en/system/Lovefield,,Google,"Embeddable,relational database,for web apps written in pure JavaScript",2014.0,"2.1.12, February 2017",Open Source,Apache 2.0,no
Elassandra,269.0,252.0,258.0,"Wide column, Multi-model",0.54,-0.11,+0.15,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine",,"Open source database and search engine for multi-cloud applications based on,Cassandra,and,Elasticsearch",,,Open Source,Apache Version 2.0,no
Alibaba Cloud MaxCompute,270.0,270.0,210.0,Relational,0.54,+0.01,-0.15,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,,Alibaba,"MaxCompute (previously known as ODPS) is a general purpose, fully managed, multi-tenancy data processing platform for large-scale data warehousing",2016.0,,commercial,,yes
GemStone/S,271.0,264.0,185.0,Object oriented,0.54,-0.04,-0.36,https://db-engines.com/en/system/GemStone%2FS,,,,1986.0,64 Bit 3.3.3,commercial,,no
Sequoiadb,272.0,279.0,252.0,Multi-model,0.54,+0.06,+0.12,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS",Sequoiadb Ltd.,NewSQL database with distributed OLTP and SQL,2013.0,,Open Source,Server: AGPL; Client: Apache V2,no
Heroic,273.0,285.0,291.0,Time Series,0.53,+0.09,+0.35,https://db-engines.com/en/system/Heroic,,Spotify,"Time Series DBMS built at Spotify based on,Cassandra,or,Google Cloud Bigtable,, and,ElasticSearch",2014.0,,Open Source,Apache 2.0,no
Weaviate,274.0,273.0,298.0,Search engine,0.53,+0.02,+0.39,https://db-engines.com/en/system/Weaviate,,Weaviate B.V.,"A cloud-native, realtime vector search engine integrating scalable machine learning models",2019.0,"1.17, December 2022",Open Source,commercial license available with Weaviate Enterprise,no
Typesense,275.0,281.0,,Search engine,0.53,+0.06,,https://db-engines.com/en/system/Typesense,,,"A typo-tolerant, in-memory search engine optimized for instant search-as-you-type experiences and developer productivity",2015.0,,Open Source,GPL V3,no
Tajo,276.0,249.0,248.0,Relational,0.52,-0.15,+0.08,https://db-engines.com/en/system/Tajo,,Apache Software Foundation,SQL on Hadoop,2012.0,,Open Source,Apache Version 2,no
Jade,277.0,284.0,212.0,Object oriented,0.51,+0.06,-0.17,https://db-engines.com/en/system/Jade,,,,1996.0,,commercial,,no
Project Voldemort,278.0,265.0,247.0,Key-value,0.5,-0.07,+0.07,https://db-engines.com/en/system/Project+Voldemort,,,,2009.0,"1.10.25, July 2017",Open Source,Apache version 2,no
Percona Server for MongoDB,279.0,269.0,216.0,Document,0.5,-0.03,-0.12,https://db-engines.com/en/system/Percona+Server+for+MongoDB,,Percona,A drop-in replacement for MongoDB Community Edition with enterprise-grade features.,2015.0,"3.4.10-2.10, November 2017",Open Source,GPL Version 2,no
Brytlyt,280.0,288.0,267.0,Relational,0.5,+0.07,+0.17,https://db-engines.com/en/system/Brytlyt,,Brytlyt,"Scalable GPU-accelerated,RDBMS,for very fast analytic and streaming workloads, leveraging,PostgreSQL",2016.0,"0.9, October 2016",commercial,,no
Comdb2,281.0,278.0,275.0,Relational,0.49,+0.01,+0.23,https://db-engines.com/en/system/Comdb2,,Bloomberg Finance L.P.,"A distributed,RDBMS,designed for geographical replication and high availability. It has been developed by Bloomberg Finance L.P. and is used as their primary DBMS.",2004.0,,Open Source,Apache 2.0,no
EJDB,282.0,275.0,307.0,Document,0.49,-0.01,+0.37,https://db-engines.com/en/system/EJDB,,Softmotions,Embeddable document-store database library with JSON representation of queries (in MongoDB style),2012.0,,Open Source,GPLv2,no
Tokyo Tyrant,283.0,276.0,239.0,Key-value,0.49,-0.01,-0.02,https://db-engines.com/en/system/Tokyo+Tyrant,,,,2007.0,,Open Source,GPL,no
HarperDB,284.0,283.0,229.0,Document,0.48,+0.02,-0.07,https://db-engines.com/en/system/HarperDB,,HarperDB,Ultra-low latency distributed database with an intuitive REST API supporting NoSQL and SQL (including joins). Deployment of functions and databases simultaneously with a consolidated node-level architecture.,2017.0,"3.1, August 2021",commercial,free community edition available,no
Mimer SQL,285.0,280.0,268.0,Relational,0.47,0.00,+0.17,https://db-engines.com/en/system/Mimer+SQL,,,,1977.0,"11.0.7D, February 2023",commercial,,no
Axibase,286.0,296.0,278.0,Time Series,0.47,+0.09,+0.22,https://db-engines.com/en/system/Axibase,,Axibase Corporation,"Scalable TimeSeries DBMS based on,HBase,with integrated rule engine and visualization",2013.0,15585,commercial,"Community Edition (single node) is free, Enterprise Edition (distributed) is paid",no
YDB,287.0,286.0,231.0,Multi-model,0.47,+0.03,-0.08,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS",Yandex,"A distributed fault-tolerant database service, with high availability, scalability, immediate consistency and ACID transactions and providing an,Amazon DynamoDB,compatible API",2019.0,,Open Source,Apache 2.0; commercial license available,no
Alibaba Cloud AnalyticDB for MySQL,288.0,272.0,215.0,"Relational, Multi-model",0.47,-0.05,-0.18,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store",Alibaba,A real-time data warehousing service that can process petabytes of data with high concurrency and low latency. It is fully compatible with the MySQL protocol.,,,commercial,,yes
Mulgara,289.0,277.0,312.0,RDF,0.45,-0.03,+0.35,https://db-engines.com/en/system/Mulgara,,,,2006.0,"2.1.13, January 2012",Open Source,Apache Version 2,no
FeatureBase,290.0,295.0,,Relational,0.45,+0.06,,https://db-engines.com/en/system/FeatureBase,,Molecula and Pilosa Open Source Contributors,"Real-time database platform that powers real-time analytics and machine learning applications by simultaneously executing low-latency, high-throughput, and highly concurrent workloads.",2017.0,"2022, May 2022",commercial,,no
GraphBase,291.0,293.0,322.0,Graph,0.43,+0.03,+0.35,https://db-engines.com/en/system/GraphBase,,,,,,commercial,,no
HyperGraphDB,292.0,299.0,289.0,Graph,0.42,+0.06,+0.24,https://db-engines.com/en/system/HyperGraphDB,,,,2007.0,,Open Source,L-GPL,no
Kyligence Enterprise,293.0,292.0,273.0,Relational,0.42,+0.03,+0.16,https://db-engines.com/en/system/Kyligence+Enterprise,,"Kyligence, Inc.","A distributed analytics engine for big data, built on top of,Apache Kylin",2016.0,,commercial,,no
HugeGraph,294.0,282.0,286.0,Graph,0.39,-0.07,+0.20,https://db-engines.com/en/system/HugeGraph,,Baidu,"A fast-speed and highly-scalable,Graph DBMS",2018.0,0.9,Open Source,Apache Version 2.0,no
TinkerGraph,295.0,302.0,293.0,Graph,0.39,+0.04,+0.22,https://db-engines.com/en/system/TinkerGraph,,,"A lightweight, in-memory graph engine that serves as a reference implementation of the TinkerPop3 API",2009.0,,Open Source,Apache 2.0,no
Marqo,296.0,298.0,,Search engine,0.38,+0.01,,https://db-engines.com/en/system/Marqo,,,"An open source vector-based,search engine",2022.0,,Open Source,Apache Version 2.0,no
Fluree,297.0,311.0,297.0,Graph,0.37,+0.07,+0.22,https://db-engines.com/en/system/Fluree,,"Fluree, PBC","A,Graph DBMS,built with blockchain technology",2018.0,,Open Source,open-sourced in October 2020,no
Alibaba Cloud AnalyticDB for PostgreSQL,298.0,294.0,245.0,Relational,0.36,-0.03,-0.11,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,,Alibaba / Pivotal Software Inc. / PostgreSQL Global Development Group,"An online MPP (Massively Parallel Processing) data warehousing service based on,Greenplum",2016.0,,commercial,,yes
FlockDB,299.0,290.0,272.0,Graph,0.36,-0.04,+0.09,https://db-engines.com/en/system/FlockDB,,Twitter,,2010.0,"1.8.5, February 2012",Open Source,Apache Version 2,no
CubicWeb,300.0,303.0,290.0,RDF,0.34,+0.01,+0.16,https://db-engines.com/en/system/CubicWeb,,,,2001.0,"3.30.0, March 2021",Open Source,L-GPL,no
PipelineDB,301.0,300.0,270.0,Relational,0.34,0.00,+0.06,https://db-engines.com/en/system/PipelineDB,,,,2015.0,,Open Source,"BSD, GPL V3",no
Speedb,302.0,301.0,,Key-value,0.34,0.00,,https://db-engines.com/en/system/Speedb,,,,2020.0,,Open Source,Apache Version 2.0; commercial license available,no
ArcadeDB,303.0,309.0,304.0,Multi-model,0.34,+0.03,+0.22,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS",,,2021.0,September 2021,Open Source,Apache Version 2.0,no
Cloudflare Workers KV,304.0,287.0,305.0,Key-value,0.34,-0.10,+0.22,https://db-engines.com/en/system/Cloudflare+Workers+KV,,,,2018.0,,commercial,,yes
ElevateDB,305.0,289.0,295.0,Relational,0.33,-0.08,+0.17,https://db-engines.com/en/system/ElevateDB,,,,2006.0,,commercial,,no
Alibaba Cloud ApsaraDB for PolarDB,306.0,304.0,227.0,Relational,0.32,-0.02,-0.24,https://db-engines.com/en/system/Alibaba+Cloud+ApsaraDB+for+PolarDB,,,,,,commercial,,yes
Actian PSQL,307.0,324.0,308.0,Relational,0.31,+0.06,+0.20,https://db-engines.com/en/system/Actian+PSQL,,,,1982.0,"v14.11, May 2020",commercial,,no
Valentina Server,308.0,291.0,283.0,Relational,0.31,-0.09,+0.10,https://db-engines.com/en/system/Valentina+Server,,,,1999.0,5.7.5,commercial,,no
TransLattice,309.0,306.0,276.0,Relational,0.31,-0.01,+0.05,https://db-engines.com/en/system/TransLattice,,,,2007.0,,commercial,,no
Alibaba Cloud Log Service,310.0,307.0,241.0,Search engine,0.31,-0.01,-0.19,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,,,,2016.0,,commercial,,yes
TerminusDB,311.0,314.0,303.0,"Graph, Multi-model",0.3,+0.00,+0.18,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store",,,2018.0,"11.0.0, January 2023",Open Source,GPL V3,no
CnosDB,312.0,,,Time Series,0.3,,,https://db-engines.com/en/system/CnosDB,,,,2022.0,"2.2.0, February 2023",Open Source,AGPL 3.0,no
Machbase,313.0,305.0,345.0,Time Series,0.29,-0.03,+0.28,https://db-engines.com/en/system/Machbase,,,,2013.0,"V6.5, August 2021",commercial,free test version available,no
Qdrant,314.0,320.0,351.0,Search engine,0.29,+0.02,+0.29,https://db-engines.com/en/system/Qdrant,,,,2021.0,,Open Source,Apache Version 2.0,no
GeoSpock,315.0,310.0,294.0,"Relational, Multi-model",0.29,-0.02,+0.12,https://db-engines.com/en/system/GeoSpock,"Relational DBMS,Time Series DBMS",,,,"2.0, September 2019",commercial,,yes
RedStore,316.0,297.0,319.0,RDF,0.29,-0.09,+0.20,https://db-engines.com/en/system/RedStore,,,,2009.0,,Open Source,GPLv3,no
AnzoGraph DB,317.0,325.0,288.0,Multi-model,0.28,+0.02,+0.08,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store",,,2018.0,"2.3, January 2021",commercial,free trial version available,no
Riak TS,318.0,317.0,280.0,Time Series,0.28,+0.00,+0.03,https://db-engines.com/en/system/Riak+TS,,,,2015.0,,Open Source,,no
Dydra,319.0,313.0,340.0,RDF,0.28,-0.02,+0.25,https://db-engines.com/en/system/Dydra,,,,2010.0,,commercial,,no
LeanXcale,320.0,322.0,292.0,Multi-model,0.28,+0.01,+0.10,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS",,,2015.0,,commercial,,no
Elliptics,321.0,332.0,351.0,Key-value,0.27,+0.04,+0.27,https://db-engines.com/en/system/Elliptics,,,Distributed Key-value Store,2009.0,,Open Source,,no
Upscaledb,322.0,334.0,348.0,Key-value,0.27,+0.04,+0.27,https://db-engines.com/en/system/Upscaledb,,,"An embedded,key-value store,with SQL-style analytical functions",2007.0,,Open Source,Apache Version 2,no
Tigris,323.0,330.0,,Multi-model,0.26,+0.01,,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS","Tigris Data, Inc.","A horizontally scalable, ACID transactional, document database available both as a fully managed cloud service and for deployment on self-managed infrastructure",2022.0,,Open Source,Apache Version 2.0,no
STSdb,324.0,329.0,327.0,Key-value,0.25,+0.00,+0.19,https://db-engines.com/en/system/STSdb,,STS Soft SC,Key-Value Store with special method for indexing,2011.0,,Open Source,"GPLv2, commercial license available",no
Tibco ComputeDB,325.0,318.0,264.0,Relational,0.25,-0.03,-0.09,https://db-engines.com/en/system/Tibco+ComputeDB,,Tibco,Distributed in-memory data store for real-time operational analytics based on Apache Spark,2015.0,,Open Source,Apache 2.0,no
RDFox,326.0,319.0,320.0,Multi-model,0.25,-0.02,+0.17,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS",Oxford Semantic Technologies,High performance knowledge graph and semantic reasoning engine,2017.0,,commercial,,no
Edge Intelligence,327.0,343.0,351.0,Relational,0.24,+0.05,+0.24,https://db-engines.com/en/system/Edge+Intelligence,,,A Big Data Analytics Platform,2012.0,,commercial,,no
IRONdb,327.0,343.0,351.0,Time Series,0.24,+0.05,+0.24,https://db-engines.com/en/system/IRONdb,,Circonus LLC.,"A distributed,Time Series DBMS,with a focus on scalability, fault tolerance and operational simplicity",2017.0,,commercial,,no
Ultipa,329.0,308.0,,Graph,0.24,-0.07,,https://db-engines.com/en/system/Ultipa,,Ultipa,"High performance,Graph DBMS,supporting HTAP high availability cluster deployment",2019.0,,commercial,,no
NEventStore,330.0,323.0,287.0,Event,0.24,-0.02,+0.04,https://db-engines.com/en/system/NEventStore,,,A persistence agnostic Event Store for .NET,2011.0,,Open Source,MIT-License,no
RaptorDB,331.0,352.0,351.0,Document,0.24,+0.06,+0.24,https://db-engines.com/en/system/RaptorDB,,,,,,Open Source,Apache Version 2,no
Alibaba Cloud Table Store,332.0,331.0,255.0,Wide column,0.24,0.00,-0.18,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,,Alibaba,"A fully managed,Wide Column Store,for large quantities of semi-structured data with real-time access",2016.0,,commercial,,yes
BrightstarDB,333.0,333.0,341.0,RDF,0.23,-0.01,+0.20,https://db-engines.com/en/system/BrightstarDB,,,,2012.0,,Open Source,,no
Bangdb,334.0,327.0,331.0,Multi-model,0.23,-0.03,+0.18,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS","Sachin Sinha, BangDB","Converged and high performance database for device data, events, time series, document and graph",2012.0,,Open Source,BSD 3,no
HyperLevelDB,335.0,343.0,351.0,Key-value,0.22,+0.03,+0.22,https://db-engines.com/en/system/HyperLevelDB,,,"A fork of Google's,LevelDB",2010.0,,Open Source,,no
Sparksee,336.0,315.0,300.0,Graph,0.22,-0.07,+0.09,https://db-engines.com/en/system/Sparksee,,,,2008.0,,commercial,,no
Eloquera,337.0,364.0,351.0,Object oriented,0.22,+0.05,+0.22,https://db-engines.com/en/system/Eloquera,,,,2008.0,,commercial,free licenses,no
Siaqodb,338.0,341.0,350.0,Object oriented,0.22,+0.01,+0.21,https://db-engines.com/en/system/Siaqodb,,,,,,commercial,,no
H2GIS,339.0,338.0,323.0,"Spatial DBMS, Multi-model",0.21,-0.01,+0.15,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS",CNRS,"Spatial extension of,H2",2013.0,,Open Source,LGPL 3.0,no
Acebase,340.0,349.0,339.0,Document,0.21,+0.03,+0.19,https://db-engines.com/en/system/Acebase,,,"A fast, low memory, transactional,Document Store,, inspired by,Firebase Realtime Database",2018.0,,Open Source,MIT License,no
AntDB,341.0,355.0,,Relational,0.21,+0.04,,https://db-engines.com/en/system/AntDB,,,"A scalable, multi-tenant, MPP-architectured,RDBMS,for OLTP and OLAP operations, highly compatible with,Oracle",,,commercial,"community version available at,github.com/ADBSQL/AntDB",no
Manticore Search,342.0,312.0,315.0,"Search engine, Multi-model",0.21,-0.09,+0.12,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS",,"Multi-storage database for search, including full-text search.",2017.0,,Open Source,GPL version 2,no
Exorbyte,343.0,339.0,351.0,Search engine,0.21,-0.01,+0.21,https://db-engines.com/en/system/Exorbyte,,,,2000.0,,commercial,,no
LedisDB,344.0,368.0,337.0,Key-value,0.2,+0.04,+0.17,https://db-engines.com/en/system/LedisDB,,,,2014.0,,Open Source,MIT-License,no
BigObject,345.0,357.0,325.0,Relational,0.2,+0.03,+0.14,https://db-engines.com/en/system/BigObject,,,Analytic DBMS for real-time computations and queries,2015.0,,commercial,free community edition available,no
Blueflood,345.0,357.0,343.0,Time Series,0.2,+0.03,+0.18,https://db-engines.com/en/system/Blueflood,,,"Scalable TimeSeries DBMS based on,Cassandra",2013.0,,Open Source,Apache 2.0,no
WhiteDB,345.0,357.0,351.0,Document,0.2,+0.03,+0.20,https://db-engines.com/en/system/WhiteDB,,,,2008.0,,Open Source,GPL V3,no
Linter,348.0,316.0,309.0,"Relational, Multi-model",0.2,-0.08,+0.09,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS",,RDBMS for high security requirements,1990.0,,commercial,,no
Immudb,349.0,321.0,317.0,"Key-value, Multi-model",0.2,-0.07,+0.11,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS",,An open source immutable (append-only) database with cryptographic verification which makes it tamper-resistant and fully auditable.,2020.0,,Open Source,Apache Version 2.0,no
TerarkDB,350.0,343.0,351.0,Key-value,0.2,+0.01,+0.20,https://db-engines.com/en/system/TerarkDB,,,"A,key-value store,forked from,RocksDB,with advanced compression algorithms. It can be used standalone or as a storage engine for,MySQL,and,MongoDB",2016.0,,commercial,restricted open source version available,no
Quasardb,351.0,369.0,306.0,Time Series,0.19,+0.04,+0.08,https://db-engines.com/en/system/Quasardb,,,"Distributed, high-performance timeseries database",2009.0,,commercial,"Free community edition, Non-profit organizations and non-commercial usage are eligible for free licenses",no
Hawkular Metrics,352.0,340.0,334.0,Time Series,0.19,-0.02,+0.15,https://db-engines.com/en/system/Hawkular+Metrics,,,"Hawkular metrics is the metric storage of the Red Hat sponsored Hawkular monitoring system. It is based on,Cassandra,.",2014.0,,Open Source,Apache 2.0,no
JethroData,353.0,356.0,347.0,Relational,0.19,+0.02,+0.18,https://db-engines.com/en/system/JethroData,,,SQL Query Engine for Hadoop,2013.0,,commercial,,no
VelocityDB,353.0,357.0,330.0,Multi-model,0.19,+0.02,+0.14,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS",,A .NET Object Database that can be embedded/distributed and extended to a graph data model (VelocityGraph),2011.0,,commercial,,no
XTDB,355.0,342.0,351.0,Document,0.18,-0.03,+0.18,https://db-engines.com/en/system/XTDB,,,A general purpose database with bitemporal SQL and Datalog and graph queries,2019.0,,Open Source,MIT License,no
Dragonfly,356.0,,,Key-value,0.18,,,https://db-engines.com/en/system/Dragonfly,,,"A drop-in,Redis,replacement that scales vertically to support millions of operations per second and terabyte sized workloads, all on a single instance",2023.0,,Open Source,BSL 1.1,no
GreptimeDB,357.0,335.0,,Time Series,0.18,-0.06,,https://db-engines.com/en/system/GreptimeDB,,,"An open source,Time Series DBMS,built for increased scalability, high performance and efficiency",2022.0,,Open Source,Apache Version 2.0,no
Kyoto Tycoon,358.0,365.0,329.0,Key-value,0.18,+0.01,+0.12,https://db-engines.com/en/system/Kyoto+Tycoon,,,,2009.0,,Open Source,GPL,no
ActorDB,359.0,357.0,351.0,Relational,0.17,+0.00,+0.17,https://db-engines.com/en/system/ActorDB,,,"A distributed, consistent,RDBMS",2014.0,,Open Source,Mozilla Public License 2.0,no
OrigoDB,360.0,343.0,351.0,Multi-model,0.17,-0.02,+0.17,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS",,A fully ACID in-memory object graph database,2009.0,,Open Source,,no
ToroDB,361.0,328.0,342.0,Document,0.17,-0.08,+0.15,https://db-engines.com/en/system/ToroDB,,8Kdata,"A MongoDB-compatible JSON document store, built on top of PostgreSQL",2016.0,,Open Source,AGPL-V3,no
