DBMS,Rank_Mar-2025,Rank_Feb-2025,Rank_Mar-2024,Database Model,Score_Mar-2025,Score_Feb-2025,Score_Mar-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
M3DB,200.0,192.0,208.0,Time Series,0.9,-0.04,-0.01,https://db-engines.com/en/system/M3DB,,,A distributed time series database created for Uber,,,Open Source,Apache version 2,no
Cubrid,201.0,194.0,168.0,Relational,0.89,-0.04,-0.54,https://db-engines.com/en/system/Cubrid,,"CUBRID Corporation, CUBRID Foundation",CUBRID is an open-source SQL-based relational database management system with object extensions for OLTP,2008.0,"11.0, January 2021",Open Source,Apache Version 2.0,no
Rockset,202.0,202.0,201.0,"Document, Multi-model",0.83,-0.04,-0.18,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine",Rockset,"A scalable, reliable search and analytics service in the cloud, built on,RocksDB",2019.0,,commercial,,yes
Altibase,203.0,204.0,182.0,Relational,0.83,+0.01,-0.38,https://db-engines.com/en/system/Altibase,,Altibase,"An enterprise grade, high-performance,RDBMS",1999.0,"v7.3, 2023, August 2023",commercial,Open source edition discontinued with March 2023,no
Infobright,204.0,207.0,194.0,Relational,0.81,+0.02,-0.24,https://db-engines.com/en/system/Infobright,,Ignite Technologies Inc.; formerly InfoBright Inc.,High performant column-oriented DBMS for analytic workloads using MySQL or PostgreSQL as a frontend,2005.0,,commercial,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,no
Typesense,205.0,203.0,200.0,Search engine,0.81,-0.03,-0.20,https://db-engines.com/en/system/Typesense,,,"A typo-tolerant, in-memory search engine optimized for instant search-as-you-type experiences and developer productivity",2015.0,,Open Source,GPL V3,no
NuoDB,206.0,208.0,207.0,Relational,0.79,+0.02,-0.14,https://db-engines.com/en/system/NuoDB,,Dassault Systèmes,NuoDB is a webscale distributed database that supports SQL and ACID transactions,2013.0,,commercial,limited edition free,no
BigchainDB,207.0,210.0,210.0,Document,0.78,+0.04,-0.09,https://db-engines.com/en/system/BigchainDB,,,"BigchainDB is scalable blockchain database offering decentralization, immutability and native assets",2016.0,,Open Source,AGPL v3,no
RDF4J,208.0,205.0,234.0,RDF,0.77,-0.03,+0.05,https://db-engines.com/en/system/RDF4J,,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.","RDF4J is a Java framework for processing RDF data, supporting both memory-based and a disk-based storage.",2004.0,,Open Source,"Eclipse Distribution License (EDL), v1.0.",no
Alibaba Cloud AnalyticDB for MySQL,209.0,206.0,224.0,"Relational, Multi-model",0.76,-0.03,-0.01,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store",Alibaba,A real-time data warehousing service that can process petabytes of data with high concurrency and low latency. It is fully compatible with the MySQL protocol.,,,commercial,,yes
HPE Ezmeral Data Fabric,210.0,209.0,192.0,Multi-model,0.76,+0.00,-0.29,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store","HPE, MapR Technologies, Inc","A unified data platform to ingest, store, manage, process, apply, and analyze all data types from any data source, and a variety of different ingestion mechanisms at an exabyte scale",2009.0,,commercial,,no
Vespa,211.0,219.0,250.0,Multi-model,0.76,+0.07,+0.19,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS",Yahoo,"Vespa is a search engine and vector DBMS. It supports vector search (ANN), lexical search, and search in structured data.",,,Open Source,Apache-2.0 license,no
GeoMesa,212.0,213.0,218.0,Spatial,0.75,+0.02,-0.08,https://db-engines.com/en/system/GeoMesa,,CCRi and others,GeoMesa is a distributed spatio-temporal DBMS based on various systems as storage layer.,2014.0,"5.0.1, July 2024",Open Source,Apache License 2.0,no
Blazegraph,213.0,211.0,222.0,Multi-model,0.73,0.00,-0.06,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store",Blazegraph,"High-performance graph database supporting Semantic Web (RDF/SPARQL) and Graph Database (tinkerpop3, blueprints, vertex-centric) APIs with scale-out and High Availability.",2006.0,"2.1.5, March 2019",Open Source,extended commercial license available,no
AllegroGraph,214.0,216.0,199.0,Multi-model,0.73,+0.03,-0.30,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS",Franz Inc.,"High performance, persistent RDF store with additional support for Graph DBMS",2004.0,"8.0, December 2023",commercial,Limited community edition free,no
Model 204,215.0,212.0,196.0,Multivalue,0.73,-0.01,-0.32,https://db-engines.com/en/system/Model+204,,,,1972.0,,commercial,,no
Yellowbrick,216.0,214.0,206.0,Relational,0.72,+0.00,-0.22,https://db-engines.com/en/system/Yellowbrick,,Yellowbrick Data,Data Warehouse appliance and cloud service,,,commercial,,no
SciDB,217.0,215.0,232.0,Multivalue,0.7,-0.01,-0.03,https://db-engines.com/en/system/SciDB,,Paradigm4,DBMS built upon a multi-dimensional array data model,2008.0,,Open Source,,no
KeyDB,218.0,225.0,205.0,Key-value,0.7,+0.05,-0.24,https://db-engines.com/en/system/KeyDB,,EQ Alpha Technology Ltd.,"An ultra-fast, open source,Key-value store,fully compatible with Redis API, modules, and protocols",2019.0,,Open Source,BSD-3,no
Xapian,219.0,217.0,216.0,Search engine,0.69,0.00,-0.15,https://db-engines.com/en/system/Xapian,,,Open Source search engine library,1986.0,"1.4.25, March 2024",Open Source,GPLv2,no
Alibaba Cloud AnalyticDB for PostgreSQL,220.0,218.0,247.0,Relational,0.67,-0.02,+0.08,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,,Alibaba / Pivotal Software Inc. / PostgreSQL Global Development Group,"An online MPP (Massively Parallel Processing) data warehousing service based on,Greenplum",2016.0,,commercial,,yes
eXist-db,221.0,220.0,221.0,Native XML,0.67,-0.01,-0.12,https://db-engines.com/en/system/eXist-db,,,,2000.0,,Open Source,L-GPL,no
Dolt,222.0,226.0,203.0,"Relational, Multi-model",0.66,+0.01,-0.32,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store",DoltHub Inc,"A,MySQL,compatible,DBMS,with Git-like versioning of data and schema",2018.0,,Open Source,Apache Version 2.0,no
CrateDB,223.0,223.0,226.0,Multi-model,0.66,0.00,-0.10,https://db-engines.com/en/system/CrateDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS",Crate,Distributed Database based on Lucene,2013.0,"5.8.1, August 2024",Open Source,,no
Actian Vector,224.0,222.0,225.0,Relational,0.66,-0.01,-0.11,https://db-engines.com/en/system/Actian+Vector,,,,,"Vector 5.0, July 2016",commercial,,no
Datacom/DB,225.0,221.0,213.0,Relational,0.65,-0.01,-0.20,https://db-engines.com/en/system/Datacom%2FDB,,Broadcom (formerly CA),"RDBMS,for mainframes",1972.0,,commercial,,no
RisingWave,226.0,234.0,252.0,Relational,0.64,+0.06,+0.08,https://db-engines.com/en/system/RisingWave,,RisingWave Labs,"A distributed,RDBMS,for stream processing, wire-compatible with,PostgreSQL",2022.0,"1.2, September 2023",Open Source,Apache Version 2.0,no
BoltDB,227.0,229.0,237.0,Key-value,0.64,+0.03,-0.05,https://db-engines.com/en/system/BoltDB,,,"An embedded,key-value store,for Go.",2013.0,,Open Source,MIT License,no
SQream DB,228.0,227.0,235.0,Relational,0.64,0.00,-0.08,https://db-engines.com/en/system/SQream+DB,,SQream Technologies,"a GPU-based, columnar RDBMS for big data analytics workloads",2017.0,"2022.1.6, December 2022",commercial,,no
TypeDB,229.0,232.0,202.0,Multi-model,0.64,+0.05,-0.37,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Object oriented DBMS,Relational DBMS",Vaticle,"TypeDB provides developers with an expressive, customizable type system to manage their data using an award-winning query language, TypeQL, while building on a high-performance, distributed architecture.",2016.0,"2.28.3, June 2024",Open Source,"GPL Version 3, commercial licenses available",no
Sedna,230.0,224.0,161.0,Native XML,0.62,-0.04,-0.97,https://db-engines.com/en/system/Sedna,,,,2006.0,,Open Source,Apache Version 2,no
ObjectDB,231.0,228.0,233.0,Object oriented,0.61,-0.03,-0.12,https://db-engines.com/en/system/ObjectDB,,,,2010.0,"2.9.0, June 2024",commercial,,no
FrontBase,232.0,237.0,240.0,Relational,0.6,+0.04,-0.06,https://db-engines.com/en/system/FrontBase,,,,1993.0,"8.2.6, December 2015",commercial,free licenses,no
solidDB,233.0,231.0,219.0,Relational,0.59,0.00,-0.23,https://db-engines.com/en/system/solidDB,,"Unicom Systems, Inc; IBM",,1992.0,,commercial,,no
Objectivity/DB,234.0,230.0,227.0,Object oriented,0.59,-0.01,-0.16,https://db-engines.com/en/system/Objectivity%2FDB,,,,1990.0,,commercial,,no
R:BASE,235.0,235.0,256.0,Relational,0.58,+0.00,+0.03,https://db-engines.com/en/system/R%3ABASE,,,,1981.0,,commercial,,no
KairosDB,236.0,239.0,238.0,Time Series,0.57,+0.03,-0.12,https://db-engines.com/en/system/KairosDB,,,"Distributed Time Series DBMS based on Cassandra or,H2",2013.0,"1.2.2, November 2018",Open Source,Apache 2.0,no
DBISAM,237.0,233.0,230.0,Relational,0.57,-0.02,-0.17,https://db-engines.com/en/system/DBISAM,,"Elevate Software, Inc.",RDBMS mainly geared to Delphi and C++Builder application developers,1998.0,,commercial,,no
1010data,238.0,236.0,215.0,Relational,0.54,-0.03,-0.30,https://db-engines.com/en/system/1010data,,,,2000.0,,commercial,,no
Splice Machine,239.0,238.0,257.0,Relational,0.54,+0.00,+0.00,https://db-engines.com/en/system/Splice+Machine,,Splice Machine,"Open-Source SQL RDBMS for Operational and Analytical use cases with native Machine Learning, powered by Hadoop and Spark",2014.0,"3.1, March 2021",Open Source,"AGPL 3.0, commercial license available",no
Graph Engine,240.0,241.0,241.0,Multi-model,0.53,+0.04,-0.11,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store",Microsoft,"A distributed in-memory data processing engine, underpinned by a strongly-typed RAM store and a general distributed computation engine",2010.0,,Open Source,MIT License,no
SQL.JS,241.0,243.0,243.0,Relational,0.53,+0.04,-0.10,https://db-engines.com/en/system/SQL.JS,,Alon Zakai,"Port of,SQLite,to JavaScript",2012.0,,Open Source,,no
Kingbase,242.0,249.0,271.0,"Relational, Multi-model",0.51,+0.04,+0.05,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS",BeiJing KINGBASE Information technologies inc.,"An enterprise-class,RDBMS,compatible with PostgreSQL and Oracle and widely used in China.",1999.0,"V8.0, August 2021",commercial,,no
Dragonfly,243.0,247.0,289.0,Key-value,0.5,+0.03,+0.17,https://db-engines.com/en/system/Dragonfly,,DragonflyDB team and community contributors,"A drop-in,Redis,replacement that scales vertically to support millions of operations per second and terabyte sized workloads, all on a single instance",2023.0,"1.0, March 2023",Open Source,BSL 1.1,no
atoti,244.0,248.0,249.0,Object oriented,0.49,+0.03,-0.07,https://db-engines.com/en/system/atoti,,ActiveViam,"An in-memory,DBMS,combining transactional and analytical processing to handle the aggregation of ever-changing data.",,,commercial,free versions available,no
HarperDB,245.0,244.0,255.0,Document,0.49,+0.00,-0.06,https://db-engines.com/en/system/HarperDB,,HarperDB,"HarperDB takes the ""stack"" out of ""tech stack"" by combining an ultra-fast document-style data store, in-memory cache, real-time message broker, and your application components into a single distributed technology.",2017.0,"3.1, August 2021",commercial,free community edition available,no
YDB,246.0,264.0,281.0,Multi-model,0.49,+0.12,+0.13,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS",Yandex,"A distributed fault-tolerant database service, with high availability, scalability, immediate consistency and ACID transactions and providing an,Amazon DynamoDB,compatible API",2019.0,,Open Source,Apache 2.0; commercial license available,no
WebSphere eXtreme Scale,247.0,240.0,223.0,Key-value,0.48,-0.02,-0.31,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,,,An elastic highly scalable in-memory data grid,2009.0,,commercial,,no
Percona Server for MongoDB,248.0,252.0,246.0,Document,0.47,+0.04,-0.12,https://db-engines.com/en/system/Percona+Server+for+MongoDB,,Percona,A drop-in replacement for MongoDB Community Edition with enterprise-grade features.,2015.0,"3.4.10-2.10, November 2017",Open Source,GPL Version 2,no
MapDB,249.0,246.0,245.0,Key-value,0.46,-0.02,-0.15,https://db-engines.com/en/system/MapDB,,,,2002.0,,Open Source,Apache Version 2,no
NexusDB,250.0,245.0,248.0,Relational,0.46,-0.02,-0.12,https://db-engines.com/en/system/NexusDB,,,,2003.0,"4.50.26, February 2021",commercial,,no
Apache Doris,251.0,251.0,217.0,Relational,0.46,+0.02,-0.38,https://db-engines.com/en/system/Apache+Doris,,"Apache Software Foundation, originally contributed from Baidu","An MPP-based analytics DBMS embracing the,MySQL,protocol",2017.0,"1.2.2, February 2023",Open Source,Apache Version 2.0,no
Kinetica,252.0,260.0,229.0,"Relational, Multi-model",0.45,+0.07,-0.28,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS",Kinetica,Fully vectorized database across both GPUs and CPUs,2012.0,"7.1, August 2021",commercial,,no
GemStone/S,253.0,255.0,251.0,Object oriented,0.45,+0.04,-0.11,https://db-engines.com/en/system/GemStone%2FS,,,,1986.0,64 Bit 3.3.3,commercial,,no
ITTIA,254.0,253.0,277.0,"Time Series, Multi-model",0.45,+0.03,+0.06,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS",ITTIA L.L.C.,Edge Time Series DBMS with Real-Time Stream Processing,2007.0,8.7,commercial,,no
Northgate Reality,255.0,242.0,188.0,Multivalue,0.45,-0.04,-0.70,https://db-engines.com/en/system/Northgate+Reality,,,,1973.0,,commercial,,no
Scalaris,256.0,250.0,244.0,Key-value,0.43,-0.01,-0.19,https://db-engines.com/en/system/Scalaris,,,,2010.0,,Open Source,Apache Version 2,no
VistaDB,257.0,254.0,254.0,Relational,0.43,+0.00,-0.12,https://db-engines.com/en/system/VistaDB,,Gibraltar Software,,2008.0,,commercial,,no
LokiJS,258.0,275.0,259.0,Document,0.41,+0.08,-0.12,https://db-engines.com/en/system/LokiJS,,,In-memory JavaScript DBMS,2014.0,,Open Source,,no
Alibaba Cloud Log Service,259.0,259.0,268.0,Search engine,0.39,+0.01,-0.07,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,,AlibabaCloud Inc.,"A complete real-time data logging service that supports collection, consumption, shipping, search, and analysis of logs.",2016.0,,commercial,,yes
AlaSQL,260.0,268.0,258.0,Multi-model,0.39,+0.04,-0.13,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS",Andrey Gershun & Mathias R. Wulff,JavaScript DBMS library,2014.0,,Open Source,MIT-License,no
Fluree,261.0,273.0,301.0,Graph,0.39,+0.06,+0.09,https://db-engines.com/en/system/Fluree,,"Fluree, PBC","A,Graph DBMS,built with blockchain technology",2018.0,,Open Source,open-sourced in October 2020,no
Apache Pinot,262.0,263.0,231.0,Relational,0.39,+0.02,-0.34,https://db-engines.com/en/system/Apache+Pinot,,Apache Software Foundation and contributors,"Realtime distributed OLAP datastore, designed to answer OLAP queries with low latency",2015.0,"1.0.0, September 2023",Open Source,Apache Version 2.0,no
OpenInsight,263.0,257.0,263.0,Multivalue,0.39,+0.00,-0.12,https://db-engines.com/en/system/OpenInsight,,Revelation Software,Development Environment with included multi-value filing system,1992.0,"10.0.1, April 2018",commercial,,no
Apache Sedona,264.0,261.0,306.0,Spatial,0.39,+0.01,+0.11,https://db-engines.com/en/system/Apache+Sedona,,Apache Software Foundation and contributors,"Apache Sedona extends,Apache Flink,and Apache Spark with a set of out-of-the-box distributed Spatial Datasets and Spatial SQL that efficiently load, process, and analyze large-scale spatial data across machines.",2020.0,,Open Source,Apache Version 2.0,no
ScaleArc,265.0,258.0,265.0,Relational,0.39,+0.00,-0.11,https://db-engines.com/en/system/ScaleArc,,Ignite,"A layer on top of standard MySQL, SQL Server or Oracle instances for data distribution and sharding",2009.0,,commercial,limited edition free,no
Postgres-XL,266.0,270.0,253.0,"Relational, Multi-model",0.38,+0.04,-0.18,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS",,Based on PostgreSQL enhanced with MPP and write-scale-out cluster features,2014.0,"10 R1, October 2018",Open Source,Mozilla public license,no
Rasdaman,267.0,262.0,273.0,Multivalue,0.38,0.00,-0.05,https://db-engines.com/en/system/Rasdaman,,,Extends standard RDBMS with efficient handling of multi-dimensional arrays,1998.0,"rasdaman v9.8.1, July 2019",Open Source,extended commercial license available,no
Hibari,268.0,266.0,228.0,Key-value,0.37,+0.02,-0.38,https://db-engines.com/en/system/Hibari,,,,2005.0,,Open Source,Apache Version 2,no
Sequoiadb,269.0,256.0,264.0,Multi-model,0.37,-0.03,-0.14,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS",Sequoiadb Ltd.,NewSQL database with distributed OLTP and SQL,2013.0,,Open Source,Server: AGPL; Client: Apache V2,no
Deep Lake,270.0,277.0,325.0,Vector,0.36,+0.04,+0.14,https://db-engines.com/en/system/Deep+Lake,,Activeloop,Deep Lake is a vector DBMS optimized for deep-learning and Large Language Model (LLM) based applications.,,,Open Source,MPL-2.0 license,no
Perst,271.0,271.0,195.0,Object oriented,0.35,+0.01,-0.69,https://db-engines.com/en/system/Perst,,,,2003.0,,Open Source,commercial license available,no
Kyligence Enterprise,272.0,276.0,275.0,Relational,0.34,+0.01,-0.07,https://db-engines.com/en/system/Kyligence+Enterprise,,"Kyligence, Inc.","A distributed analytics engine for big data, built on top of,Apache Kylin",2016.0,,commercial,,no
Immudb,273.0,265.0,305.0,"Key-value, Multi-model",0.34,-0.03,+0.05,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS",Codenotary,An open source immutable (append-only) database with cryptographic verification which makes it tamper-resistant and fully auditable.,2020.0,"1.2.3, April 2022",Open Source,Apache Version 2.0,no
SearchBlox,274.0,269.0,262.0,Search engine,0.33,-0.01,-0.18,https://db-engines.com/en/system/SearchBlox,,,,2003.0,,commercial,,no
Comdb2,275.0,272.0,297.0,Relational,0.33,0.00,+0.02,https://db-engines.com/en/system/Comdb2,,Bloomberg Finance L.P.,"A distributed,RDBMS,designed for geographical replication and high availability. It has been developed by Bloomberg Finance L.P. and is used as their primary DBMS.",2004.0,,Open Source,Apache 2.0,no
Marqo,276.0,281.0,283.0,Search engine,0.32,+0.03,-0.03,https://db-engines.com/en/system/Marqo,,,"An open source vector-based,search engine",2022.0,,Open Source,Apache Version 2.0,no
Cloudflare Workers KV,277.0,287.0,290.0,Key-value,0.32,+0.05,-0.02,https://db-engines.com/en/system/Cloudflare+Workers+KV,,Cloudflare,"A global, low-latency,,key-value store,for applications on Cloudflare with exceptionally high read volumes and low-latency.",2018.0,,commercial,,yes
OpenQM,278.0,278.0,278.0,Multivalue,0.3,0.00,-0.07,https://db-engines.com/en/system/OpenQM,,"Rocket Software, originally Martin Phillips","QpenQM is a high-performance, self-tuning, multi-value DBMS",1993.0,3.4-12,Open Source,"GPLv2, extended commercial license available",no
4store,279.0,267.0,267.0,RDF,0.3,-0.05,-0.19,https://db-engines.com/en/system/4store,,,,2009.0,,Open Source,GPLv3,no
Actian PSQL,280.0,289.0,353.0,Relational,0.29,+0.03,+0.19,https://db-engines.com/en/system/Actian+PSQL,,,RDBMS used for embedded databases,1982.0,"v15 SP2 (15.20), August 2021",commercial,,no
Elassandra,281.0,282.0,304.0,"Wide column, Multi-model",0.29,+0.00,+0.00,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine",,"Open source database and search engine for multi-cloud applications based on Cassandra and,Elasticsearch",,,Open Source,Apache Version 2.0,no
ModeShape,282.0,279.0,272.0,Content,0.29,-0.01,-0.14,https://db-engines.com/en/system/ModeShape,,,,2010.0,,Open Source,Apache Version 2,no
LeanXcale,283.0,301.0,287.0,Multi-model,0.28,+0.07,-0.05,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS",LeanXcale,A highly scalable full ACID SQL database with fast NoSQL data ingestion and GIS capabilities,2015.0,,commercial,,no
Starcounter,284.0,283.0,285.0,Object oriented,0.28,0.00,-0.06,https://db-engines.com/en/system/Starcounter,,,,2006.0,"2.3.2.930, April 2018",commercial,,no
Strabon,285.0,280.0,270.0,RDF,0.28,-0.02,-0.18,https://db-engines.com/en/system/Strabon,,,,2011.0,,Open Source,Mozilla public license,no
Tajo,286.0,290.0,299.0,Relational,0.27,+0.02,-0.03,https://db-engines.com/en/system/Tajo,,Apache Software Foundation,SQL on Hadoop,2012.0,,Open Source,Apache Version 2,no
CnosDB,287.0,274.0,274.0,Time Series,0.27,-0.06,-0.15,https://db-engines.com/en/system/CnosDB,,,"An open source distributed,Time Series DBMS,with high performance, high compression rate and high ease of use",2022.0,"2.2.0, February 2023",Open Source,AGPL 3.0,no
Project Voldemort,288.0,284.0,288.0,Key-value,0.27,0.00,-0.06,https://db-engines.com/en/system/Project+Voldemort,,,,2009.0,"1.10.25, July 2017",Open Source,Apache version 2,no
Raima Database Manager,289.0,295.0,260.0,Multi-model,0.27,+0.03,-0.25,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS",Raima Inc.,"RDBMS with a small footprint, either embedded into an application or used as a database server",1984.0,"15, June 2021",commercial,,no
Fujitsu Enterprise Postgres,290.0,307.0,280.0,"Relational, Multi-model",0.27,+0.07,-0.10,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS",Fujitsu Limited,"Enterprise-grade,PostgreSQL,-based DBMS with security enhancements such as Transparent Data Encryption and Data Masking, plus high-availability and performance improvement features.",,"Fujitsu Enterprise Postgres 16, May 2024",commercial,,no
RDFox,291.0,305.0,317.0,Multi-model,0.26,+0.06,+0.01,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS",Oxford Semantic Technologies,High performance knowledge graph and semantic reasoning engine,2017.0,"6.0, Septermber 2022",commercial,,no
FeatureBase,292.0,303.0,293.0,Relational,0.26,+0.05,-0.05,https://db-engines.com/en/system/FeatureBase,,Molecula and Pilosa Open Source Contributors,"Real-time database platform that powers real-time analytics and machine learning applications by simultaneously executing low-latency, high-throughput, and highly concurrent workloads.",2017.0,"2022, May 2022",commercial,,no
Databend,293.0,294.0,296.0,Relational,0.26,+0.02,-0.06,https://db-engines.com/en/system/Databend,,Databend Labs,"An open-source, elastic, and workload-aware cloud data warehouse designed to meet businesses' massive-scale analytics needs at low cost and with low complexity",2021.0,"1.0.59, April 2023",Open Source,Apache Version 2.0,no
Manticore Search,294.0,297.0,312.0,"Search engine, Multi-model",0.25,+0.03,0.00,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS",Manticore Software,"Multi-storage database for search, including full-text search.",2017.0,"6.0, February 2023",Open Source,GPL version 2,no
InfiniteGraph,295.0,288.0,279.0,Graph,0.25,-0.01,-0.12,https://db-engines.com/en/system/InfiniteGraph,,,,2010.0,,commercial,,no
Apache HugeGraph,296.0,285.0,340.0,Graph,0.25,-0.03,+0.11,https://db-engines.com/en/system/Apache+HugeGraph,,Baidu,"A fast-speed and highly-scalable,Graph DBMS",2018.0,0.9,Open Source,Apache Version 2.0,no
Brytlyt,297.0,291.0,276.0,Relational,0.25,0.00,-0.15,https://db-engines.com/en/system/Brytlyt,,Brytlyt,"Scalable GPU-accelerated,RDBMS,for very fast analytic and streaming workloads, leveraging,PostgreSQL",2016.0,"5.0, August 2023",commercial,,no
Vald,298.0,293.0,236.0,Vector,0.25,+0.01,-0.46,https://db-engines.com/en/system/Vald,,,Vald is a distributed vector DBMS.,,,Open Source,Apache-2.0 license,no
MyScale,299.0,286.0,341.0,Multi-model,0.25,-0.03,+0.11,https://db-engines.com/en/system/MyScale,"Relational DBMS,Vector DBMS",,"Built on,Clickhouse,, MyScale integrates vector search and SQL analytics and is used for large scale AI applications",2022.0,,commercial,,yes
RaptorDB,300.0,302.0,397.0,Document,0.24,+0.03,+0.24,https://db-engines.com/en/system/RaptorDB,,,,,,Open Source,Apache Version 2,no
YTsaurus,301.0,309.0,334.0,Multi-model,0.23,+0.04,+0.06,https://db-engines.com/en/system/YTsaurus,"Document store,Key-value store",Yandex,YTsaurus is an open source platform for distributed storage and processing.,2023.0,,Open Source,"Apache License, Version 2.0",no
Badger,302.0,321.0,315.0,Key-value,0.23,+0.07,-0.02,https://db-engines.com/en/system/Badger,,DGraph Labs,"An embeddable, persistent, simple and fast,Key-Value Store,, written purely in Go.",2017.0,,Open Source,Apache 2.0,no
Redland,303.0,292.0,269.0,RDF,0.22,-0.02,-0.24,https://db-engines.com/en/system/Redland,,,A set of free software C libraries that provide support for the Resource Description Framework (RDF),2000.0,,Open Source,"Multi License (LGPL, GPLv2, Apache V2)",no
Alibaba Cloud TSDB,304.0,296.0,332.0,Time Series,0.22,0.00,+0.05,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,,Alibaba,"A stable, reliable, and cost-effective online high-performance time series database service",,,commercial,,yes
RedStore,305.0,298.0,310.0,RDF,0.22,0.00,-0.04,https://db-engines.com/en/system/RedStore,,,RedStore is a lightweight RDF triplestore,2009.0,,Open Source,GPLv3,no
Actian FastObjects,306.0,299.0,313.0,Object oriented,0.22,0.00,-0.04,https://db-engines.com/en/system/Actian+FastObjects,,Actian,,,,commercial,,no
Axibase,307.0,308.0,292.0,Time Series,0.21,+0.03,-0.11,https://db-engines.com/en/system/Axibase,,Axibase Corporation,Scalable TimeSeries DBMS based on HBase with integrated rule engine and visualization,2013.0,15585,commercial,"Community Edition (single node) is free, Enterprise Edition (distributed) is paid",no
AnzoGraph DB,308.0,317.0,295.0,Multi-model,0.21,+0.04,-0.10,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store",Cambridge Semantics,"Scalable graph database built for online analytics and data harmonization with MPP scaling, high-performance analytical algorithms and reasoning, and virtualization",2018.0,"2.3, January 2021",commercial,free trial version available,no
Mimer SQL,309.0,300.0,291.0,Relational,0.2,-0.01,-0.12,https://db-engines.com/en/system/Mimer+SQL,,,,1977.0,"11.0.8D, May 2024",commercial,,no
Faircom DB,310.0,315.0,298.0,Multi-model,0.2,+0.03,-0.11,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS",FairCom Corporation,Native high-speed multi-model DBMS for relational and key-value store data simultaneously accessible through SQL and NoSQL APIs.,1979.0,"V13, July 2024",commercial,"Restricted, free version available",no
IBM Db2 Event Store,311.0,316.0,320.0,Multi-model,0.2,+0.03,-0.05,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS",IBM,Distributed Event Store optimized for Internet of Things use cases,2017.0,2.0,commercial,free developer edition available,no
YottaDB,312.0,312.0,303.0,"Key-value, Multi-model",0.19,+0.02,-0.10,https://db-engines.com/en/system/YottaDB,"Key-value store,Relational DBMS","YottaDB, LLC","A fast and solid embedded,Key-value store",2001.0,,Open Source,AGPL 3.0,no
PieCloudDB,313.0,311.0,284.0,Relational,0.19,+0.01,-0.16,https://db-engines.com/en/system/PieCloudDB,,OpenPie,A cloud-native analytic database platform with new technologoy for elastic MPP,,"2.1, January 2023",commercial,,yes
XTDB,314.0,310.0,336.0,Document,0.19,+0.00,+0.03,https://db-engines.com/en/system/XTDB,,Juxt Ltd.,A general purpose database with bitemporal SQL and Datalog and graph queries,2019.0,"1.19, September 2021",Open Source,MIT License,no
Ultipa,315.0,329.0,346.0,Graph,0.19,+0.08,+0.06,https://db-engines.com/en/system/Ultipa,,Ultipa,"High performance,Graph DBMS,supporting HTAP high availability cluster deployment",2019.0,,commercial,,no
