DBMS,Rank_Feb-2023,Rank_Jan-2023,Rank_Feb-2022,Database Model,Score_Feb-2023,Score_Jan-2023,Score_Feb-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
BoltDB,233.0,220.0,227.0,Key-value,0.87,-0.01,+0.29,https://db-engines.com/en/system/BoltDB,,,"An embedded,key-value store,for Go.",2013.0,,Open Source,MIT License,no
R:BASE,234.0,219.0,207.0,Relational,0.87,-0.01,+0.15,https://db-engines.com/en/system/R%3ABASE,,,,1981.0,,commercial,,no
Yellowbrick,235.0,232.0,205.0,Relational,0.87,+0.07,+0.15,https://db-engines.com/en/system/Yellowbrick,,Yellowbrick Data,Data Warehouse appliance and cloud service,,,commercial,,no
OpenInsight,236.0,248.0,241.0,Multivalue,0.84,+0.18,+0.33,https://db-engines.com/en/system/OpenInsight,,,Development Environment with included multi-value filing system,1992.0,,commercial,,no
Scalaris,237.0,241.0,254.0,Key-value,0.82,+0.12,+0.40,https://db-engines.com/en/system/Scalaris,,,,2010.0,,Open Source,Apache Version 2,no
eXtremeDB,238.0,228.0,209.0,Multi-model,0.8,-0.04,+0.09,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS",McObject,"Natively in-memory DBMS with options for persistency, high-availability and clustering",2001.0,,commercial,,no
Datacom/DB,239.0,235.0,194.0,Relational,0.78,+0.03,-0.02,https://db-engines.com/en/system/Datacom%2FDB,,Broadcom (formerly CA),"RDBMS,for mainframes",1972.0,,commercial,,no
Milvus,240.0,246.0,249.0,Search engine,0.78,+0.10,+0.33,https://db-engines.com/en/system/Milvus,,,A DBMS designed for efficient storage of vector data and vector similarity searches,2019.0,,Open Source,Apache Version 2.0,no
Kingbase,241.0,245.0,258.0,"Relational, Multi-model",0.76,+0.08,+0.37,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS",BeiJing KINGBASE Information technologies inc.,"An enterprise-class,RDBMS,compatible with PostgreSQL and Oracle and widely used in China.",1999.0,"V8.0, August 2021",commercial,,no
4store,242.0,247.0,247.0,RDF,0.76,+0.09,+0.31,https://db-engines.com/en/system/4store,,,,2009.0,,Open Source,GPLv3,no
Objectivity/DB,243.0,236.0,185.0,Object oriented,0.76,+0.01,-0.11,https://db-engines.com/en/system/Objectivity%2FDB,,,,1990.0,,commercial,,no
KeyDB,244.0,243.0,264.0,Key-value,0.76,+0.06,+0.41,https://db-engines.com/en/system/KeyDB,,EQ Alpha Technology Ltd.,"An ultra-fast, open source,Key-value store,fully compatible with Redis API, modules, and protocols",2019.0,,Open Source,BSD-3,no
Apache Doris,245.0,244.0,271.0,Relational,0.75,+0.06,+0.45,https://db-engines.com/en/system/Apache+Doris,,"Apache Software Foundation, originally contributed from Baidu","An MPP-based analytics DBMS embracing the,MySQL,protocol",2017.0,"0.14, May 2021",Open Source,Apache Version 2.0,no
ModeShape,246.0,256.0,261.0,Content,0.72,+0.12,+0.35,https://db-engines.com/en/system/ModeShape,,,,2010.0,,Open Source,Apache Version 2,no
SearchBlox,247.0,251.0,262.0,Search engine,0.72,+0.09,+0.36,https://db-engines.com/en/system/SearchBlox,,,,2003.0,,commercial,,no
Tajo,248.0,242.0,255.0,Relational,0.71,+0.02,+0.31,https://db-engines.com/en/system/Tajo,,Apache Software Foundation,SQL on Hadoop,2012.0,,Open Source,Apache Version 2,no
AlaSQL,249.0,237.0,230.0,Multi-model,0.71,-0.03,+0.15,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS",Andrey Gershun & Mathias R. Wulff,JavaScript DBMS library,2014.0,,Open Source,MIT-License,no
Rasdaman,250.0,252.0,251.0,Multivalue,0.71,+0.09,+0.28,https://db-engines.com/en/system/Rasdaman,,,Extends standard RDBMS with efficient handling of multi-dimensional arrays,1998.0,"rasdaman v9.8.1, July 2019",Open Source,extended commercial license available,no
Postgres-XL,251.0,230.0,206.0,"Relational, Multi-model",0.71,-0.11,-0.01,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS",,Based on PostgreSQL enhanced with MPP and write-scale-out cluster features,2014.0,"10 R1, October 2018",Open Source,Mozilla public license,no
LokiJS,252.0,261.0,229.0,Document,0.7,+0.17,+0.13,https://db-engines.com/en/system/LokiJS,,,In-memory JavaScript DBMS,2014.0,,Open Source,,no
Strabon,253.0,263.0,304.0,RDF,0.68,+0.15,+0.55,https://db-engines.com/en/system/Strabon,,,,2011.0,,Open Source,Mozilla public license,no
Apache Pinot,254.0,250.0,,Relational,0.67,+0.04,,https://db-engines.com/en/system/Apache+Pinot,,Apache Software Foundation and contributors,"Realtime distributed OLAP datastore, designed to answer OLAP queries with low latency",2015.0,"0.11.0, September 2022",Open Source,Apache Version 2.0,no
Starcounter,255.0,239.0,256.0,Object oriented,0.65,-0.06,+0.25,https://db-engines.com/en/system/Starcounter,,,,2006.0,"2.3.2.930, April 2018",commercial,,no
Trafodion,256.0,233.0,244.0,Relational,0.64,-0.12,+0.17,https://db-engines.com/en/system/Trafodion,,"Apache Software Foundation, originally developed by HP",Transactional SQL-on-Hadoop DBMS,2014.0,"2.3.0, February 2019",Open Source,Apache 2.0,no
Elassandra,257.0,265.0,240.0,"Wide column, Multi-model",0.63,+0.11,+0.12,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine",,"Open source database and search engine for multi-cloud applications based on,Cassandra,and,Elasticsearch",,,Open Source,Apache Version 2.0,no
atoti,258.0,240.0,260.0,Object oriented,0.62,-0.08,+0.24,https://db-engines.com/en/system/atoti,,ActiveViam,"An in-memory,DBMS,combining transactional and analytical processing to handle the aggregation of ever-changing data.",,,commercial,free versions available,no
InfiniteGraph,259.0,254.0,245.0,Graph,0.61,+0.01,+0.15,https://db-engines.com/en/system/InfiniteGraph,,,,2010.0,,commercial,,no
Sequoiadb,260.0,255.0,250.0,Multi-model,0.59,-0.02,+0.15,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS",Sequoiadb Ltd.,NewSQL database with distributed OLTP and SQL,2013.0,,Open Source,Server: AGPL; Client: Apache V2,no
OpenQM,261.0,257.0,273.0,Multivalue,0.59,+0.03,+0.31,https://db-engines.com/en/system/OpenQM,,Martin Phillips,"QpenQM is a high-performance, self-tuning, multi-value DBMS",1993.0,3.4-12,Open Source,"GPLv2, extended commercial license available",no
GemStone/S,262.0,262.0,183.0,Object oriented,0.58,+0.05,-0.31,https://db-engines.com/en/system/GemStone%2FS,,,,1986.0,64 Bit 3.3.3,commercial,,no
Tokyo Tyrant,263.0,259.0,235.0,Key-value,0.58,+0.03,+0.03,https://db-engines.com/en/system/Tokyo+Tyrant,,,,2007.0,,Open Source,GPL,no
Project Voldemort,264.0,253.0,242.0,Key-value,0.57,-0.04,+0.10,https://db-engines.com/en/system/Project+Voldemort,,,,2009.0,"1.10.25, July 2017",Open Source,Apache version 2,no
Percona Server for MongoDB,265.0,249.0,218.0,Document,0.56,-0.07,-0.06,https://db-engines.com/en/system/Percona+Server+for+MongoDB,,Percona,A drop-in replacement for MongoDB Community Edition with enterprise-grade features.,2015.0,"3.4.10-2.10, November 2017",Open Source,GPL Version 2,no
ITTIA,266.0,266.0,307.0,Relational,0.56,+0.05,+0.45,https://db-engines.com/en/system/ITTIA,,,,2000.0,,commercial,,no
HarperDB,267.0,260.0,232.0,Document,0.56,+0.02,+0.00,https://db-engines.com/en/system/HarperDB,,HarperDB,Ultra-low latency distributed database with an intuitive REST API supporting NoSQL and SQL (including joins). Deployment of functions and databases simultaneously with a consolidated node-level architecture.,2017.0,"3.1, August 2021",commercial,free community edition available,no
Actian FastObjects,268.0,283.0,289.0,Object oriented,0.56,+0.15,+0.35,https://db-engines.com/en/system/Actian+FastObjects,,Actian,,,,commercial,,no
Kinetica,269.0,267.0,208.0,"Relational, Multi-model",0.56,+0.06,-0.15,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS",Kinetica,Fully vectorized database across both GPUs and CPUs,2012.0,"7.1, August 2021",commercial,,no
Comdb2,270.0,268.0,276.0,Relational,0.55,+0.05,+0.29,https://db-engines.com/en/system/Comdb2,,Bloomberg Finance L.P.,"A distributed,RDBMS,designed for geographical replication and high availability. It has been developed by Bloomberg Finance L.P. and is used as their primary DBMS.",2004.0,,Open Source,Apache 2.0,no
YDB,271.0,258.0,219.0,Multi-model,0.54,-0.01,-0.08,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS",Yandex,"A distributed fault-tolerant database service, with high availability, scalability, immediate consistency and ACID transactions and providing an,Amazon DynamoDB,compatible API",2019.0,,Open Source,Apache 2.0; commercial license available,no
Lovefield,272.0,271.0,274.0,Relational,0.53,+0.04,+0.26,https://db-engines.com/en/system/Lovefield,,Google,"Embeddable,relational database,for web apps written in pure JavaScript",2014.0,"2.1.12, February 2017",Open Source,Apache 2.0,no
Raima Database Manager,273.0,272.0,220.0,Multi-model,0.52,+0.05,-0.09,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS",Raima Inc.,"RDBMS with a small footprint, either embedded into an application or used as a database server",1984.0,"15, June 2021",commercial,,no
Transbase,274.0,287.0,308.0,Relational,0.52,+0.13,+0.41,https://db-engines.com/en/system/Transbase,,Transaction Software GmbH,"A resource-optimized, high-performance, universally applicable RDBMS",1987.0,"Transbase 8.3, 2022",commercial,free development license,no
Cloudflare Workers KV,275.0,275.0,300.0,Key-value,0.51,+0.06,+0.38,https://db-engines.com/en/system/Cloudflare+Workers+KV,,Cloudflare,"A global, low-latency,,key-value store,for applications on Cloudflare with exceptionally high read volumes and low-latency.",2018.0,,commercial,,yes
Brytlyt,276.0,264.0,257.0,Relational,0.51,-0.01,+0.12,https://db-engines.com/en/system/Brytlyt,,Brytlyt,"Scalable GPU-accelerated,RDBMS,for very fast analytic and streaming workloads, leveraging,PostgreSQL",2016.0,"0.9, October 2016",commercial,,no
Redland,277.0,274.0,252.0,RDF,0.51,+0.05,+0.08,https://db-engines.com/en/system/Redland,,,A set of free software C libraries that provide support for the Resource Description Framework (RDF),2000.0,,Open Source,"Multi License (LGPL, GPLv2, Apache V2)",no
SurrealDB,278.0,276.0,,Multi-model,0.51,+0.05,,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS",SurrealDB Ltd,"A fully ACID transactional, developer-friendly, multi-model,DBMS",2022.0,,Open Source,,no
Alibaba Cloud MaxCompute,279.0,277.0,204.0,Relational,0.5,+0.05,-0.24,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,,Alibaba,"MaxCompute (previously known as ODPS) is a general purpose, fully managed, multi-tenancy data processing platform for large-scale data warehousing",2016.0,,commercial,,yes
EJDB,280.0,282.0,287.0,Document,0.5,+0.09,+0.27,https://db-engines.com/en/system/EJDB,,Softmotions,Embeddable document-store database library with JSON representation of queries (in MongoDB style),2012.0,,Open Source,GPLv2,no
Mulgara,281.0,301.0,303.0,RDF,0.5,+0.17,+0.37,https://db-engines.com/en/system/Mulgara,,,,2006.0,"2.1.13, January 2012",Open Source,Apache Version 2,no
FlockDB,282.0,286.0,272.0,Graph,0.5,+0.10,+0.21,https://db-engines.com/en/system/FlockDB,,,,2010.0,"1.8.5, February 2012",Open Source,Apache Version 2,no
Alibaba Cloud AnalyticDB for MySQL,283.0,269.0,211.0,"Relational, Multi-model",0.5,+0.01,-0.21,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store",,,,,commercial,,yes
TransLattice,284.0,298.0,281.0,Relational,0.48,+0.14,+0.24,https://db-engines.com/en/system/TransLattice,,,,2007.0,,commercial,,no
Kyligence Enterprise,285.0,273.0,267.0,Relational,0.48,+0.01,+0.17,https://db-engines.com/en/system/Kyligence+Enterprise,,,,2016.0,,commercial,,no
ElevateDB,286.0,292.0,295.0,Relational,0.46,+0.08,+0.28,https://db-engines.com/en/system/ElevateDB,,,,2006.0,,commercial,,no
HugeGraph,287.0,281.0,296.0,Graph,0.45,+0.03,+0.29,https://db-engines.com/en/system/HugeGraph,,,,2018.0,0.9,Open Source,Apache Version 2.0,no
Marqo,288.0,,,Search engine,0.45,,,https://db-engines.com/en/system/Marqo,,,,2022.0,,Open Source,Apache Version 2.0,no
Mimer SQL,289.0,302.0,265.0,Relational,0.44,+0.11,+0.09,https://db-engines.com/en/system/Mimer+SQL,,,,1977.0,"11.0.7D, February 2023",commercial,,no
Jade,290.0,291.0,202.0,Object oriented,0.42,+0.05,-0.32,https://db-engines.com/en/system/Jade,,,,1996.0,,commercial,,no
PipelineDB,291.0,290.0,266.0,Relational,0.42,+0.04,+0.09,https://db-engines.com/en/system/PipelineDB,,,,2015.0,,Open Source,"BSD, GPL V3",no
FeatureBase,292.0,278.0,,Relational,0.42,-0.02,,https://db-engines.com/en/system/FeatureBase,,,,2017.0,"2022, May 2022",commercial,,no
Typesense,293.0,285.0,,Search engine,0.41,+0.01,,https://db-engines.com/en/system/Typesense,,,,2015.0,,Open Source,GPL V3,no
ArcadeDB,294.0,289.0,312.0,Multi-model,0.41,+0.03,+0.32,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS",,,2021.0,September 2021,Open Source,Apache Version 2.0,no
Weaviate,295.0,280.0,297.0,Search engine,0.41,-0.02,+0.26,https://db-engines.com/en/system/Weaviate,,,,2019.0,"1.17, December 2022",Open Source,commercial license available with Weaviate Enterprise,no
Riak TS,296.0,284.0,278.0,Time Series,0.41,+0.00,+0.15,https://db-engines.com/en/system/Riak+TS,,,,2015.0,,Open Source,,no
HyperGraphDB,297.0,309.0,284.0,Graph,0.41,+0.12,+0.17,https://db-engines.com/en/system/HyperGraphDB,,,,2007.0,,Open Source,L-GPL,no
Axibase,298.0,294.0,270.0,Time Series,0.41,+0.05,+0.11,https://db-engines.com/en/system/Axibase,,,,2013.0,15585,commercial,"Community Edition (single node) is free, Enterprise Edition (distributed) is paid",no
Valentina Server,299.0,279.0,285.0,Relational,0.4,-0.04,+0.17,https://db-engines.com/en/system/Valentina+Server,,,,1999.0,5.7.5,commercial,,no
Skytable,300.0,322.0,,Key-value,0.4,+0.16,,https://db-engines.com/en/system/Skytable,,,,2020.0,,Open Source,GNU AGPL 3.0,no
Fluree,301.0,288.0,292.0,Graph,0.39,+0.00,+0.19,https://db-engines.com/en/system/Fluree,,"Fluree, PBC","A,Graph DBMS,built with blockchain technology",2018.0,,Open Source,open-sourced in October 2020,no
Ultipa,302.0,319.0,,Graph,0.39,+0.12,,https://db-engines.com/en/system/Ultipa,,Ultipa,"High performance,Graph DBMS,supporting HTAP high availability cluster deployment",2019.0,,commercial,,no
TinkerGraph,303.0,270.0,305.0,Graph,0.38,-0.10,+0.26,https://db-engines.com/en/system/TinkerGraph,,,"A lightweight, in-memory graph engine that serves as a reference implementation of the TinkerPop3 API",2009.0,,Open Source,Apache 2.0,no
CubicWeb,304.0,316.0,293.0,RDF,0.38,+0.11,+0.20,https://db-engines.com/en/system/CubicWeb,,,,2001.0,,Open Source,L-GPL,no
Alibaba Cloud AnalyticDB for PostgreSQL,305.0,295.0,237.0,Relational,0.38,+0.04,-0.15,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,,Alibaba / Pivotal Software Inc. / PostgreSQL Global Development Group,"An online MPP (Massively Parallel Processing) data warehousing service based on,Greenplum",2016.0,,commercial,,yes
Heroic,306.0,304.0,288.0,Time Series,0.37,+0.07,+0.16,https://db-engines.com/en/system/Heroic,,Spotify,"Time Series DBMS built at Spotify based on,Cassandra,or,Google Cloud Bigtable,, and,ElasticSearch",2014.0,,Open Source,Apache 2.0,no
XtremeData,307.0,321.0,298.0,Relational,0.37,+0.13,+0.23,https://db-engines.com/en/system/XtremeData,,,,,,commercial,limited edition free,no
GraphBase,308.0,303.0,318.0,Graph,0.37,+0.06,+0.30,https://db-engines.com/en/system/GraphBase,,,,,,commercial,,no
RedStore,309.0,313.0,341.0,RDF,0.37,+0.09,+0.34,https://db-engines.com/en/system/RedStore,,,RedStore is a lightweight RDF triplestore,2009.0,,Open Source,GPLv3,no
Machbase,310.0,307.0,336.0,Time Series,0.36,+0.06,+0.32,https://db-engines.com/en/system/Machbase,,Machbase,TimeSeries DBMS for AIoT and BigData,2013.0,,commercial,free test version available,no
GeoSpock,311.0,296.0,279.0,"Relational, Multi-model",0.36,+0.01,+0.10,https://db-engines.com/en/system/GeoSpock,"Relational DBMS,Time Series DBMS",GeoSpock,Spatial and temporal data processing engine for extreme data scale,,,commercial,,yes
LeanXcale,312.0,297.0,286.0,Multi-model,0.35,+0.01,+0.12,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS",LeanXcale,A highly scalable full ACID SQL database with fast NoSQL data ingestion and GIS capabilities,2015.0,,commercial,,no
Speedb,313.0,300.0,,Key-value,0.35,+0.02,,https://db-engines.com/en/system/Speedb,,Speedb,"An embeddable, high performance key-value store optimized for write-intensive workloads, which can be used as a drop-in replacement for,RocksDB",2020.0,,commercial,,no
Sparksee,314.0,308.0,306.0,Graph,0.34,+0.05,+0.22,https://db-engines.com/en/system/Sparksee,,,,2008.0,,commercial,,no
TerminusDB,315.0,317.0,290.0,"Graph, Multi-model",0.34,+0.07,+0.14,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store",DataChemist Ltd.,"Scalable,Graph Database,platform making enterprise data available by exploiting inferred entities and relationships",2018.0,,Open Source,GPL V3,no
Bangdb,316.0,341.0,311.0,Multi-model,0.34,+0.14,+0.24,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS","Sachin Sinha, BangDB","Converged and high performance database for device data, events, time series, document and graph",2012.0,,Open Source,BSD 3,no
STSdb,317.0,320.0,314.0,Key-value,0.33,+0.08,+0.25,https://db-engines.com/en/system/STSdb,,STS Soft SC,Key-Value Store with special method for indexing,2011.0,,Open Source,"GPLv2, commercial license available",no
Alibaba Cloud ApsaraDB for PolarDB,318.0,299.0,221.0,Relational,0.33,0.00,-0.28,https://db-engines.com/en/system/Alibaba+Cloud+ApsaraDB+for+PolarDB,,Alibaba,"A cloud-native relational database compatible with MySQL, PostgreSQL, and Oracle. Designed for business critical applications.",,,commercial,,yes
NEventStore,319.0,314.0,294.0,Event,0.33,+0.06,+0.16,https://db-engines.com/en/system/NEventStore,,,A persistence agnostic Event Store for .NET,2011.0,,Open Source,MIT-License,no
Upscaledb,320.0,326.0,343.0,Key-value,0.33,+0.11,+0.30,https://db-engines.com/en/system/Upscaledb,,,"An embedded,key-value store,with SQL-style analytical functions",2007.0,,Open Source,Apache Version 2,no
RDFox,321.0,305.0,325.0,Multi-model,0.33,+0.02,+0.27,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS",Oxford Semantic Technologies,High performance knowledge graph and semantic reasoning engine,2017.0,"6.0, Septermber 2022",commercial,,no
Alibaba Cloud Log Service,322.0,293.0,226.0,Search engine,0.31,-0.05,-0.26,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,,AlibabaCloud Inc.,"A complete real-time data logging service that supports collection, consumption, shipping, search, and analysis of logs.",2016.0,,commercial,,yes
Immudb,323.0,312.0,291.0,"Key-value, Multi-model",0.31,+0.04,+0.11,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS",Codenotary,An open source immutable (append-only) database with cryptographic verification which makes it tamper-resistant and fully auditable.,2020.0,"1.2.3, April 2022",Open Source,Apache Version 2.0,no
Exorbyte,324.0,326.0,350.0,Search engine,0.31,+0.09,+0.29,https://db-engines.com/en/system/Exorbyte,,,,2000.0,,commercial,,no
Transwarp KunDB,325.0,318.0,,Relational,0.31,+0.04,,https://db-engines.com/en/system/Transwarp+KunDB,,Transwarp,"OLTP DBMS based on a distributed architecture and highly compatible with,MySQL,and,Oracle",,,commercial,,no
Actian PSQL,326.0,306.0,302.0,Relational,0.3,0.00,+0.17,https://db-engines.com/en/system/Actian+PSQL,,,RDBMS used for embedded databases,1982.0,"v14.11, May 2020",commercial,,no
Manticore Search,327.0,310.0,309.0,"Search engine, Multi-model",0.3,+0.02,+0.19,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS",Manticore Software,"Multi-storage database for search, including full-text search.",2017.0,"4.2, December 2021",Open Source,GPL version 2,no
Elliptics,328.0,342.0,347.0,Key-value,0.3,+0.11,+0.27,https://db-engines.com/en/system/Elliptics,,,Distributed Key-value Store,2009.0,,Open Source,,no
Tigris,329.0,,,Multi-model,0.3,,,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS","Tigris Data, Inc.","A horizontally scalable, ACID transactional, document database available both as a fully managed cloud service and for deployment on self-managed infrastructure",2022.0,,Open Source,Apache Version 2.0,no
GreptimeDB,330.0,,,Time Series,0.3,,,https://db-engines.com/en/system/GreptimeDB,,Greptime Inc.,"An open source,Time Series DBMS,built for increased scalability, high performance and efficiency",2022.0,,Open Source,Apache Version 2.0,no
BrightstarDB,331.0,338.0,333.0,RDF,0.27,+0.07,+0.23,https://db-engines.com/en/system/BrightstarDB,,,,2012.0,,Open Source,,no
SiteWhere,332.0,346.0,338.0,Time Series,0.27,+0.08,+0.23,https://db-engines.com/en/system/SiteWhere,,SiteWhere,M2M integration platform for persisting/querying time series data,2010.0,,Open Source,Common Public Attribution License Version 1.0,no
Tibco ComputeDB,333.0,324.0,268.0,Relational,0.26,+0.03,-0.04,https://db-engines.com/en/system/Tibco+ComputeDB,,Tibco,Distributed in-memory data store for real-time operational analytics based on Apache Spark,2015.0,,Open Source,Apache 2.0,no
ToroDB,334.0,340.0,334.0,Document,0.26,+0.06,+0.22,https://db-engines.com/en/system/ToroDB,,8Kdata,"A MongoDB-compatible JSON document store, built on top of PostgreSQL",2016.0,,Open Source,AGPL-V3,no
Acebase,335.0,328.0,,Document,0.26,+0.04,,https://db-engines.com/en/system/Acebase,,,"A fast, low memory, transactional,Document Store,, inspired by,Firebase Realtime Database",2018.0,,Open Source,MIT License,no
Dydra,336.0,332.0,328.0,RDF,0.25,+0.05,+0.20,https://db-engines.com/en/system/Dydra,,,,2010.0,,commercial,,no
Edge Intelligence,337.0,334.0,359.0,Relational,0.25,+0.04,+0.25,https://db-engines.com/en/system/Edge+Intelligence,,,A Big Data Analytics Platform,2012.0,,commercial,,no
HyperLevelDB,337.0,334.0,359.0,Key-value,0.25,+0.04,+0.25,https://db-engines.com/en/system/HyperLevelDB,,,"A fork of Google's,LevelDB",2010.0,,Open Source,,no
iBoxDB,337.0,323.0,356.0,Document,0.25,+0.01,+0.24,https://db-engines.com/en/system/iBoxDB,,,Transactional embedded database for desktop and mobile applications.,2013.0,,Open Source,,no
IRONdb,337.0,334.0,339.0,Time Series,0.25,+0.04,+0.21,https://db-engines.com/en/system/IRONdb,,Circonus LLC.,"A distributed,Time Series DBMS,with a focus on scalability, fault tolerance and operational simplicity",2017.0,"V0.10.20, January 2018",commercial,,no
OrigoDB,337.0,334.0,348.0,Multi-model,0.25,+0.04,+0.22,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS",Robert Friberg et al,A fully ACID in-memory object graph database,2009.0,,Open Source,,no
TerarkDB,337.0,339.0,349.0,Key-value,0.25,+0.04,+0.22,https://db-engines.com/en/system/TerarkDB,,Terark,"A,key-value store,forked from,RocksDB,with advanced compression algorithms. It can be used standalone or as a storage engine for,MySQL,and,MongoDB",2016.0,,commercial,restricted open source version available,no
RaptorDB,343.0,347.0,359.0,Document,0.24,+0.06,+0.24,https://db-engines.com/en/system/RaptorDB,,,,,,Open Source,Apache Version 2,no
AnzoGraph DB,344.0,311.0,263.0,Multi-model,0.23,-0.05,-0.12,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store",Cambridge Semantics,"Scalable graph database built for online analytics and data harmonization with MPP scaling, high-performance analytical algorithms and reasoning, and virtualization",2018.0,,commercial,free trial version available,no
Eloquera,345.0,344.0,358.0,Object oriented,0.23,+0.04,+0.22,https://db-engines.com/en/system/Eloquera,,,,2008.0,,commercial,free licenses,no
Alibaba Cloud Table Store,346.0,315.0,246.0,Wide column,0.23,-0.05,-0.23,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,,Alibaba,"A fully managed,Wide Column Store,for large quantities of semi-structured data with real-time access",2016.0,,commercial,,yes
ActorDB,347.0,350.0,359.0,Relational,0.23,+0.06,+0.23,https://db-engines.com/en/system/ActorDB,,,"A distributed, consistent,RDBMS",2014.0,,Open Source,Mozilla Public License 2.0,no
NosDB,348.0,353.0,351.0,Document,0.22,+0.06,+0.20,https://db-engines.com/en/system/NosDB,,Alachisoft,"Scalable JSON based,document store,for .NET",2016.0,,Open Source,Professional and Enterprise Versions available,no
JethroData,349.0,358.0,359.0,Relational,0.21,+0.06,+0.21,https://db-engines.com/en/system/JethroData,,JethroData,SQL Query Engine for Hadoop,2013.0,,commercial,,no
Blueflood,350.0,361.0,319.0,Time Series,0.21,+0.07,+0.14,https://db-engines.com/en/system/Blueflood,,Rackspace,"Scalable TimeSeries DBMS based on,Cassandra",2013.0,,Open Source,Apache 2.0,no
H2GIS,351.0,343.0,329.0,"Spatial DBMS, Multi-model",0.2,+0.01,+0.15,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS",CNRS,"Spatial extension of,H2",2013.0,,Open Source,LGPL 3.0,no
Quasardb,352.0,352.0,301.0,Time Series,0.2,+0.04,+0.06,https://db-engines.com/en/system/Quasardb,,quasardb,"Distributed, high-performance timeseries database",2009.0,,commercial,"Free community edition, Non-profit organizations and non-commercial usage are eligible for free licenses",no
Hawkular Metrics,353.0,330.0,316.0,Time Series,0.2,-0.01,+0.12,https://db-engines.com/en/system/Hawkular+Metrics,,Community supported by Red Hat,"Hawkular metrics is the metric storage of the Red Hat sponsored Hawkular monitoring system. It is based on,Cassandra,.",2014.0,,Open Source,Apache 2.0,no
Siaqodb,354.0,329.0,359.0,Object oriented,0.19,-0.01,+0.19,https://db-engines.com/en/system/Siaqodb,,,,,,commercial,,no
LedisDB,355.0,365.0,330.0,Key-value,0.19,+0.08,+0.15,https://db-engines.com/en/system/LedisDB,,,,2014.0,,Open Source,MIT-License,no
BigObject,356.0,331.0,315.0,Relational,0.19,-0.01,+0.10,https://db-engines.com/en/system/BigObject,,"BigObject, Inc.",Analytic DBMS for real-time computations and queries,2015.0,,commercial,free community edition available,no
SiriDB,356.0,325.0,344.0,Time Series,0.19,-0.03,+0.16,https://db-engines.com/en/system/SiriDB,,Cesbit,"Open Source,Time Series DBMS",2017.0,,Open Source,MIT License,no
TomP2P,356.0,358.0,359.0,Key-value,0.19,+0.04,+0.19,https://db-engines.com/en/system/TomP2P,,,Distributed Key-Value store,2004.0,,Open Source,Apache Version 2,no
VelocityDB,356.0,333.0,321.0,Multi-model,0.19,-0.01,+0.13,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS",VelocityDB Inc,A .NET Object Database that can be embedded/distributed and extended to a graph data model (VelocityGraph),2011.0,,commercial,,no
WhiteDB,356.0,358.0,359.0,Document,0.19,+0.04,+0.19,https://db-engines.com/en/system/WhiteDB,,,,2008.0,,Open Source,GPL V3,no
XTDB,361.0,349.0,359.0,Document,0.18,+0.01,+0.18,https://db-engines.com/en/system/XTDB,,Juxt Ltd.,A general purpose database with bitemporal SQL and Datalog and graph queries,2019.0,"1.19, September 2021",Open Source,MIT License,no
Qdrant,362.0,366.0,337.0,Search engine,0.18,+0.08,+0.14,https://db-engines.com/en/system/Qdrant,,Qdrant,"A high-performance vector similarity,Search Engine,and vector Database with neural network or semantic-based matching",2021.0,,Open Source,Apache Version 2.0,no
